t,month,var,best,r,r5,r6,r7
1,2025-04,temp,6.67,0.957,0.914,0.95,0.956
1,2025-05,ws,6.0,0.74,0.716,0.74,0.715
1,2025-05,temp,6.67,0.932,0.877,0.924,0.93
1,2025-06,ws,6.67,0.598,0.54,0.588,0.594
1,2025-06,temp,6.67,0.936,0.871,0.926,0.933
1,2025-07,ws,5.67,0.672,0.657,0.669,0.63
1,2025-07,temp,6.67,0.919,0.846,0.905,0.917
1,2025-08,ws,6.5,0.642,0.588,0.635,0.637
1,2025-08,temp,6.67,0.908,0.846,0.9,0.904
1,2025-09,ws,6.17,0.777,0.742,0.777,0.759
1,2025-09,temp,6.67,0.91,0.856,0.902,0.907
1,2025-10,ws,6.33,0.766,0.736,0.763,0.761
1,2025-10,temp,6.83,0.925,0.85,0.909,0.924
1,2025-11,ws,6.17,0.763,0.748,0.763,0.752
1,2025-11,temp,7.17,0.89,0.771,0.853,0.889
1,2025-12,ws,6.0,0.782,0.764,0.782,0.762
1,2025-12,temp,7.5,0.825,0.725,0.788,0.822
1,2026-01,ws,5.17,0.722,0.722,0.714,0.692
1,2026-01,temp,7.5,0.918,0.844,0.891,0.916
2,2023-03,ws,6.17,0.796,0.764,0.795,0.787
2,2023-03,temp,6.67,0.941,0.906,0.936,0.94
2,2023-04,ws,6.0,0.725,0.693,0.725,0.701
2,2023-04,temp,6.5,0.949,0.916,0.946,0.946
2,2023-05,ws,5.83,0.743,0.723,0.742,0.713
2,2023-05,temp,6.33,0.948,0.924,0.947,0.942
2,2023-06,ws,6.33,0.634,0.599,0.632,0.623
2,2023-06,temp,6.67,0.902,0.823,0.887,0.901
2,2023-07,ws,6.5,0.688,0.633,0.683,0.679
2,2023-07,temp,6.5,0.92,0.865,0.913,0.915
2,2023-08,ws,6.33,0.685,0.632,0.681,0.674
2,2023-08,temp,6.83,0.936,0.882,0.925,0.936
2,2023-09,ws,6.17,0.761,0.727,0.76,0.739
2,2023-09,temp,7.0,0.917,0.856,0.903,0.917
2,2023-10,ws,5.83,0.788,0.768,0.788,0.763
2,2023-10,temp,7.0,0.914,0.85,0.898,0.914
2,2023-11,ws,6.0,0.851,0.832,0.851,0.832
2,2023-11,temp,7.0,0.875,0.752,0.844,0.875
2,2023-12,ws,6.5,0.818,0.78,0.814,0.811
2,2023-12,temp,6.83,0.935,0.919,0.931,0.935
2,2024-01,ws,6.0,0.728,0.705,0.728,0.705
2,2024-01,temp,7.0,0.895,0.841,0.88,0.895
2,2024-02,ws,6.0,0.729,0.71,0.729,0.713
2,2024-02,temp,6.83,0.944,0.911,0.936,0.943
2,2024-03,ws,5.5,0.819,0.814,0.815,0.787
2,2024-03,temp,6.5,0.966,0.943,0.963,0.964
2,2024-04,ws,5.67,0.817,0.808,0.815,0.782
2,2024-04,temp,6.33,0.927,0.895,0.925,0.919
2,2024-05,ws,5.83,0.782,0.762,0.781,0.739
2,2024-05,temp,6.33,0.94,0.907,0.937,0.933
2,2024-06,ws,5.83,0.566,0.55,0.566,0.547
2,2024-06,temp,6.33,0.925,0.884,0.922,0.917
2,2024-07,ws,6.33,0.566,0.505,0.561,0.553
2,2024-07,temp,6.5,0.927,0.873,0.919,0.923
2,2024-08,ws,6.0,0.531,0.511,0.531,0.5
2,2024-08,temp,6.83,0.926,0.855,0.912,0.925
2,2024-09,ws,6.17,0.817,0.788,0.816,0.801
2,2024-09,temp,6.67,0.928,0.879,0.919,0.926
2,2024-10,ws,6.0,0.758,0.735,0.758,0.731
2,2024-10,temp,7.0,0.942,0.892,0.928,0.942
2,2024-11,ws,6.0,0.762,0.749,0.762,0.747
2,2024-11,temp,6.83,0.929,0.868,0.915,0.928
2,2024-12,ws,6.17,0.802,0.781,0.802,0.792
2,2024-12,temp,7.17,0.889,0.808,0.865,0.889
2,2025-01,ws,6.5,0.734,0.719,0.732,0.731
2,2025-01,temp,7.33,0.869,0.717,0.815,0.864
2,2025-02,ws,6.5,0.675,0.647,0.671,0.673
2,2025-02,temp,6.83,0.919,0.857,0.905,0.918
2,2025-03,ws,6.17,0.756,0.738,0.755,0.748
2,2025-03,temp,6.67,0.951,0.918,0.945,0.95
2,2025-04,ws,6.33,0.76,0.719,0.758,0.747
2,2025-04,temp,6.67,0.958,0.916,0.95,0.956
2,2025-05,ws,6.0,0.753,0.725,0.753,0.732
2,2025-05,temp,6.67,0.935,0.879,0.926,0.932
2,2025-06,ws,6.67,0.61,0.555,0.602,0.606
2,2025-06,temp,6.67,0.937,0.874,0.929,0.934
2,2025-07,ws,5.67,0.673,0.659,0.669,0.628
2,2025-07,temp,6.67,0.92,0.846,0.906,0.919
2,2025-08,ws,6.5,0.648,0.595,0.642,0.642
2,2025-08,temp,6.5,0.91,0.85,0.902,0.905
2,2025-09,ws,6.17,0.775,0.74,0.774,0.759
2,2025-09,temp,6.67,0.912,0.857,0.903,0.909
2,2025-10,ws,6.5,0.766,0.735,0.763,0.761
2,2025-10,temp,6.83,0.926,0.849,0.91,0.926
2,2025-11,ws,6.17,0.764,0.748,0.764,0.753
2,2025-11,temp,7.17,0.891,0.772,0.854,0.89
2,2025-12,ws,6.0,0.775,0.754,0.775,0.755
2,2025-12,temp,7.5,0.826,0.723,0.787,0.822
2,2026-01,ws,5.17,0.718,0.718,0.711,0.689
2,2026-01,temp,7.5,0.917,0.841,0.888,0.914
