source,turbine_id,window,lag_h,r,n
IFS 9 km,T1,2024-03..2026-01,4.666666666666667,0.7448100952531975,91289
IFS 9 km,T1,2024-03..2026-01,4.833333333333333,0.7552078559224003,91289
IFS 9 km,T1,2024-03..2026-01,5.0,0.7643884900744894,91289
IFS 9 km,T1,2024-03..2026-01,5.166666666666667,0.7722060177267883,91289
IFS 9 km,T1,2024-03..2026-01,5.333333333333333,0.7785004517919187,91289
IFS 9 km,T1,2024-03..2026-01,5.5,0.7831528183301262,91289
IFS 9 km,T1,2024-03..2026-01,5.666666666666667,0.7861621980518944,91289
IFS 9 km,T1,2024-03..2026-01,5.833333333333333,0.7875211615102936,91289
IFS 9 km,T1,2024-03..2026-01,6.0,0.7873271224696352,91289
IFS 9 km,T1,2024-03..2026-01,6.166666666666667,0.785667199339072,91289
IFS 9 km,T1,2024-03..2026-01,6.333333333333333,0.7826568215867522,91289
IFS 9 km,T1,2024-03..2026-01,6.5,0.7784391008322391,91289
IFS 9 km,T1,2024-03..2026-01,6.666666666666667,0.7731207614967134,91289
IFS 9 km,T1,2024-03..2026-01,6.833333333333333,0.7668653005515671,91289
IFS 9 km,T1,2024-03..2026-01,7.0,0.7597621225489304,91289
IFS 9 km,T1,2024-03..2026-01,7.166666666666667,0.7518346592364302,91289
IFS 9 km,T1,2024-03..2026-01,7.333333333333333,0.743146552108267,91289
IFS 9 km,T1,2024-03..2026-01,7.5,0.7337273774785961,91289
IFS 9 km,T1,2024-03..2026-01,7.666666666666667,0.7236139226092398,91289
IFS 9 km,T1,2024-03..2026-01,7.833333333333333,0.7128526322251604,91289
IFS 9 km,T1,2024-03..2026-01,8.0,0.7015286653807048,91289
IFS 9 km,T1,2024-03..2026-01,8.166666666666666,0.6897430728504592,91289
IFS 9 km,T1,2024-03..2026-01,8.333333333333334,0.6775831866846193,91289
IFS 9 km,T1,2024-03..2026-01,8.5,0.6651467381575545,91289
IFS 9 km,T1,2024-03..2026-01,8.666666666666666,0.6524860270813835,91289
IFS 9 km,T1,2024-03..2026-01,8.833333333333334,0.6396315886943945,91289
IFS 9 km,T1,2024-03..2026-01,9.0,0.6265923108794883,91289
IFS 9 km,T2,2023-03..2024-02,3.0,0.5752535850083561,50232
IFS 9 km,T2,2023-03..2024-02,3.1666666666666665,0.5903637080715073,50232
IFS 9 km,T2,2023-03..2024-02,3.3333333333333335,0.6053765429679433,50232
IFS 9 km,T2,2023-03..2024-02,3.5,0.6202397528242265,50232
IFS 9 km,T2,2023-03..2024-02,3.6666666666666665,0.6348582923060758,50232
IFS 9 km,T2,2023-03..2024-02,3.8333333333333335,0.6492626098138433,50232
IFS 9 km,T2,2023-03..2024-02,4.0,0.6633675975919855,50232
IFS 9 km,T2,2023-03..2024-02,4.166666666666667,0.6771441246914621,50232
IFS 9 km,T2,2023-03..2024-02,4.333333333333333,0.6905043264162448,50232
IFS 9 km,T2,2023-03..2024-02,4.5,0.7032765730364444,50232
IFS 9 km,T2,2023-03..2024-02,4.666666666666667,0.7153397227696688,50232
IFS 9 km,T2,2023-03..2024-02,4.833333333333333,0.7265344153436021,50232
IFS 9 km,T2,2023-03..2024-02,5.0,0.7366525556882644,50232
IFS 9 km,T2,2023-03..2024-02,5.166666666666667,0.7454565062422772,50232
IFS 9 km,T2,2023-03..2024-02,5.333333333333333,0.7527471184672206,50232
IFS 9 km,T2,2023-03..2024-02,5.5,0.7584595914271152,50232
IFS 9 km,T2,2023-03..2024-02,5.666666666666667,0.76251329132602,50232
IFS 9 km,T2,2023-03..2024-02,5.833333333333333,0.7648372642446624,50232
IFS 9 km,T2,2023-03..2024-02,6.0,0.7654916999511334,50232
IFS 9 km,T2,2023-03..2024-02,6.166666666666667,0.7645899123210085,50232
IFS 9 km,T2,2023-03..2024-02,6.333333333333333,0.7622322835073093,50232
IFS 9 km,T2,2023-03..2024-02,6.5,0.7585417767232094,50232
IFS 9 km,T2,2023-03..2024-02,6.666666666666667,0.7535857157556951,50232
IFS 9 km,T2,2023-03..2024-02,6.833333333333333,0.7475180536762757,50232
IFS 9 km,T2,2023-03..2024-02,7.0,0.7404432183470084,50232
IFS 9 km,T2,2023-03..2024-02,7.166666666666667,0.7325043163522433,50232
IFS 9 km,T2,2023-03..2024-02,7.333333333333333,0.7238620734006744,50232
IFS 9 km,T2,2023-03..2024-02,7.5,0.7145721981616131,50232
IFS 9 km,T2,2023-03..2024-02,7.666666666666667,0.7047252663094427,50232
IFS 9 km,T2,2023-03..2024-02,7.833333333333333,0.6943636915314423,50232
IFS 9 km,T2,2023-03..2024-02,8.0,0.6835486700909815,50232
IFS 9 km,T2,2023-03..2024-02,8.166666666666666,0.6723386186583267,50232
IFS 9 km,T2,2023-03..2024-02,8.333333333333334,0.66081438928669,50232
IFS 9 km,T2,2023-03..2024-02,8.5,0.6489906935264861,50232
IFS 9 km,T2,2023-03..2024-02,8.666666666666666,0.6368568598034033,50232
IFS 9 km,T2,2023-03..2024-02,8.833333333333334,0.6244617927069647,50232
IFS 9 km,T2,2023-03..2024-02,9.0,0.6118347869294198,50232
IFS 9 km,T2,2024-03..2026-01,3.0,0.595434473390267,99267
IFS 9 km,T2,2024-03..2026-01,3.1666666666666665,0.611379880053065,99267
IFS 9 km,T2,2024-03..2026-01,3.3333333333333335,0.6272359534921552,99267
IFS 9 km,T2,2024-03..2026-01,3.5,0.6428879054152333,99267
IFS 9 km,T2,2024-03..2026-01,3.6666666666666665,0.6582403592461596,99267
IFS 9 km,T2,2024-03..2026-01,3.8333333333333335,0.6731779416718523,99267
IFS 9 km,T2,2024-03..2026-01,4.0,0.6876055810871783,99267
IFS 9 km,T2,2024-03..2026-01,4.166666666666667,0.7014521601965524,99267
IFS 9 km,T2,2024-03..2026-01,4.333333333333333,0.7146442063440837,99267
IFS 9 km,T2,2024-03..2026-01,4.5,0.7271055827680768,99267
IFS 9 km,T2,2024-03..2026-01,4.666666666666667,0.7386982148923722,99267
IFS 9 km,T2,2024-03..2026-01,4.833333333333333,0.7492362897194635,99267
IFS 9 km,T2,2024-03..2026-01,5.0,0.7585727916133683,99267
IFS 9 km,T2,2024-03..2026-01,5.166666666666667,0.7665359631010575,99267
IFS 9 km,T2,2024-03..2026-01,5.333333333333333,0.7729625987208324,99267
IFS 9 km,T2,2024-03..2026-01,5.5,0.7777084675108795,99267
IFS 9 km,T2,2024-03..2026-01,5.666666666666667,0.7807769123112603,99267
IFS 9 km,T2,2024-03..2026-01,5.833333333333333,0.7821838277437985,99267
IFS 9 km,T2,2024-03..2026-01,6.0,0.7820007823686562,99267
IFS 9 km,T2,2024-03..2026-01,6.166666666666667,0.7803250381173675,99267
IFS 9 km,T2,2024-03..2026-01,6.333333333333333,0.7772314013683261,99267
IFS 9 km,T2,2024-03..2026-01,6.5,0.7729032230543155,99267
IFS 9 km,T2,2024-03..2026-01,6.666666666666667,0.7674366565398887,99267
IFS 9 km,T2,2024-03..2026-01,6.833333333333333,0.7609711816745842,99267
IFS 9 km,T2,2024-03..2026-01,7.0,0.7536142552175258,99267
IFS 9 km,T2,2024-03..2026-01,7.166666666666667,0.7453978012882555,99267
IFS 9 km,T2,2024-03..2026-01,7.333333333333333,0.7364329957023515,99267
IFS 9 km,T2,2024-03..2026-01,7.5,0.726725171901671,99267
IFS 9 km,T2,2024-03..2026-01,7.666666666666667,0.7163629814204797,99267
IFS 9 km,T2,2024-03..2026-01,7.833333333333333,0.7054093292765099,99267
IFS 9 km,T2,2024-03..2026-01,8.0,0.6939296855089265,99267
IFS 9 km,T2,2024-03..2026-01,8.166666666666666,0.6820288676599419,99267
IFS 9 km,T2,2024-03..2026-01,8.333333333333334,0.6698150567592246,99267
IFS 9 km,T2,2024-03..2026-01,8.5,0.6574093761733192,99267
IFS 9 km,T2,2024-03..2026-01,8.666666666666666,0.6448204067714749,99267
IFS 9 km,T2,2024-03..2026-01,8.833333333333334,0.632056152603574,99267
IFS 9 km,T2,2024-03..2026-01,9.0,0.6191392399018639,99267
ERA5,T1,2023-03..2024-02,3.0,0.582845511746723,51071
ERA5,T1,2023-03..2024-02,3.1666666666666665,0.5959178390980472,51071
ERA5,T1,2023-03..2024-02,3.3333333333333335,0.6089204960694035,51071
ERA5,T1,2023-03..2024-02,3.5,0.6217940151234919,51071
ERA5,T1,2023-03..2024-02,3.6666666666666665,0.6344779323001806,51071
ERA5,T1,2023-03..2024-02,3.8333333333333335,0.6468931704045376,51071
ERA5,T1,2023-03..2024-02,4.0,0.6589651672252422,51071
ERA5,T1,2023-03..2024-02,4.166666666666667,0.6705802183150179,51071
ERA5,T1,2023-03..2024-02,4.333333333333333,0.6817312249476986,51071
ERA5,T1,2023-03..2024-02,4.5,0.6923642682409915,51071
ERA5,T1,2023-03..2024-02,4.666666666666667,0.7023525220248649,51071
ERA5,T1,2023-03..2024-02,4.833333333333333,0.7116319667951154,51071
ERA5,T1,2023-03..2024-02,5.0,0.7200565809819602,51071
ERA5,T1,2023-03..2024-02,5.166666666666667,0.727576378581974,51071
ERA5,T1,2023-03..2024-02,5.333333333333333,0.7340624496470414,51071
ERA5,T1,2023-03..2024-02,5.5,0.7394081050583667,51071
ERA5,T1,2023-03..2024-02,5.666666666666667,0.7435332483169704,51071
ERA5,T1,2023-03..2024-02,5.833333333333333,0.7464087534625627,51071
ERA5,T1,2023-03..2024-02,6.0,0.7480188505599311,51071
ERA5,T1,2023-03..2024-02,6.166666666666667,0.7483366714958791,51071
ERA5,T1,2023-03..2024-02,6.333333333333333,0.7473764402565581,51071
ERA5,T1,2023-03..2024-02,6.5,0.7451589930714428,51071
ERA5,T1,2023-03..2024-02,6.666666666666667,0.7417570280629007,51071
ERA5,T1,2023-03..2024-02,6.833333333333333,0.737207711643721,51071
ERA5,T1,2023-03..2024-02,7.0,0.7316119023969295,51071
ERA5,T1,2023-03..2024-02,7.166666666666667,0.7250356115871633,51071
ERA5,T1,2023-03..2024-02,7.333333333333333,0.7175850303545245,51071
ERA5,T1,2023-03..2024-02,7.5,0.7093691674600483,51071
ERA5,T1,2023-03..2024-02,7.666666666666667,0.700448703325977,51071
ERA5,T1,2023-03..2024-02,7.833333333333333,0.6908289493234512,51071
ERA5,T1,2023-03..2024-02,8.0,0.680549832429273,51071
ERA5,T1,2023-03..2024-02,8.166666666666666,0.6697230854817636,51071
ERA5,T1,2023-03..2024-02,8.333333333333334,0.6583995553898226,51071
ERA5,T1,2023-03..2024-02,8.5,0.6466889991552498,51071
ERA5,T1,2023-03..2024-02,8.666666666666666,0.634681293559907,51071
ERA5,T1,2023-03..2024-02,8.833333333333334,0.6224836154070267,51071
ERA5,T1,2023-03..2024-02,9.0,0.6101578266698399,51071
ERA5,T1,2024-03..2026-01,3.0,0.5969257588913811,91289
ERA5,T1,2024-03..2026-01,3.1666666666666665,0.6093551079850479,91289
ERA5,T1,2024-03..2026-01,3.3333333333333335,0.6216386412098636,91289
ERA5,T1,2024-03..2026-01,3.5,0.633708926028124,91289
ERA5,T1,2024-03..2026-01,3.6666666666666665,0.6455080383003158,91289
ERA5,T1,2024-03..2026-01,3.8333333333333335,0.6569849029399839,91289
ERA5,T1,2024-03..2026-01,4.0,0.6680639777341371,91289
ERA5,T1,2024-03..2026-01,4.166666666666667,0.6786791741792414,91289
ERA5,T1,2024-03..2026-01,4.333333333333333,0.6887488337052846,91289
ERA5,T1,2024-03..2026-01,4.5,0.6981957919971428,91289
ERA5,T1,2024-03..2026-01,4.666666666666667,0.7069122117531778,91289
ERA5,T1,2024-03..2026-01,4.833333333333333,0.7148013396068836,91289
ERA5,T1,2024-03..2026-01,5.0,0.7217889321202672,91289
ERA5,T1,2024-03..2026-01,5.166666666666667,0.7278109628267252,91289
ERA5,T1,2024-03..2026-01,5.333333333333333,0.7328126151426546,91289
ERA5,T1,2024-03..2026-01,5.5,0.7367864378142511,91289
ERA5,T1,2024-03..2026-01,5.666666666666667,0.7397081793748581,91289
ERA5,T1,2024-03..2026-01,5.833333333333333,0.7415904065579499,91289
ERA5,T1,2024-03..2026-01,6.0,0.742464489491864,91289
ERA5,T1,2024-03..2026-01,6.166666666666667,0.7423426752893998,91289
ERA5,T1,2024-03..2026-01,6.333333333333333,0.7412349597929114,91289
ERA5,T1,2024-03..2026-01,6.5,0.7391389633974215,91289
ERA5,T1,2024-03..2026-01,6.666666666666667,0.7360857601186851,91289
ERA5,T1,2024-03..2026-01,6.833333333333333,0.7320951341955759,91289
ERA5,T1,2024-03..2026-01,7.0,0.7272121783439073,91289
ERA5,T1,2024-03..2026-01,7.166666666666667,0.7214510392178255,91289
ERA5,T1,2024-03..2026-01,7.333333333333333,0.7148616092974621,91289
ERA5,T1,2024-03..2026-01,7.5,0.7074933631764642,91289
ERA5,T1,2024-03..2026-01,7.666666666666667,0.6994087964830163,91289
ERA5,T1,2024-03..2026-01,7.833333333333333,0.6906663515881835,91289
ERA5,T1,2024-03..2026-01,8.0,0.6813122692030281,91289
ERA5,T1,2024-03..2026-01,8.166666666666666,0.6714259825758139,91289
ERA5,T1,2024-03..2026-01,8.333333333333334,0.6610556056062014,91289
ERA5,T1,2024-03..2026-01,8.5,0.6502579106168469,91289
ERA5,T1,2024-03..2026-01,8.666666666666666,0.6390630518095926,91289
ERA5,T1,2024-03..2026-01,8.833333333333334,0.6274937179038406,91289
ERA5,T1,2024-03..2026-01,9.0,0.6155650027495471,91289
ERA5,T2,2023-03..2024-02,3.0,0.5823278930951098,50232
ERA5,T2,2023-03..2024-02,3.1666666666666665,0.5954973255183131,50232
ERA5,T2,2023-03..2024-02,3.3333333333333335,0.6086308468109463,50232
ERA5,T2,2023-03..2024-02,3.5,0.6216394926415302,50232
ERA5,T2,2023-03..2024-02,3.6666666666666665,0.6344755079574211,50232
ERA5,T2,2023-03..2024-02,3.8333333333333335,0.6470514280320195,50232
ERA5,T2,2023-03..2024-02,4.0,0.6592658476874831,50232
ERA5,T2,2023-03..2024-02,4.166666666666667,0.6710293842292694,50232
ERA5,T2,2023-03..2024-02,4.333333333333333,0.6823050218503973,50232
ERA5,T2,2023-03..2024-02,4.5,0.6930606507322558,50232
ERA5,T2,2023-03..2024-02,4.666666666666667,0.703158386523984,50232
ERA5,T2,2023-03..2024-02,4.833333333333333,0.7125373258131437,50232
ERA5,T2,2023-03..2024-02,5.0,0.7210560760028532,50232
ERA5,T2,2023-03..2024-02,5.166666666666667,0.7286522314504054,50232
ERA5,T2,2023-03..2024-02,5.333333333333333,0.7352026313639548,50232
ERA5,T2,2023-03..2024-02,5.5,0.7406226398819352,50232
ERA5,T2,2023-03..2024-02,5.666666666666667,0.7448315615248027,50232
ERA5,T2,2023-03..2024-02,5.833333333333333,0.7477919632838746,50232
ERA5,T2,2023-03..2024-02,6.0,0.7495201158664703,50232
ERA5,T2,2023-03..2024-02,6.166666666666667,0.7499891866560655,50232
ERA5,T2,2023-03..2024-02,6.333333333333333,0.7492134891692465,50232
ERA5,T2,2023-03..2024-02,6.5,0.7472154797853009,50232
ERA5,T2,2023-03..2024-02,6.666666666666667,0.7440371507220322,50232
ERA5,T2,2023-03..2024-02,6.833333333333333,0.7397088717759278,50232
ERA5,T2,2023-03..2024-02,7.0,0.734287303997386,50232
ERA5,T2,2023-03..2024-02,7.166666666666667,0.7278734468514103,50232
ERA5,T2,2023-03..2024-02,7.333333333333333,0.7205457656041497,50232
ERA5,T2,2023-03..2024-02,7.5,0.7123840547337436,50232
ERA5,T2,2023-03..2024-02,7.666666666666667,0.703462856098652,50232
ERA5,T2,2023-03..2024-02,7.833333333333333,0.6938172094883049,50232
ERA5,T2,2023-03..2024-02,8.0,0.6834863743526924,50232
ERA5,T2,2023-03..2024-02,8.166666666666666,0.6725584642608764,50232
ERA5,T2,2023-03..2024-02,8.333333333333334,0.6611309252330052,50232
ERA5,T2,2023-03..2024-02,8.5,0.6492981505781473,50232
ERA5,T2,2023-03..2024-02,8.666666666666666,0.6371625591607756,50232
ERA5,T2,2023-03..2024-02,8.833333333333334,0.6248364578327622,50232
ERA5,T2,2023-03..2024-02,9.0,0.6123747302301065,50232
ERA5,T2,2024-03..2026-01,3.0,0.5891272274564686,99267
ERA5,T2,2024-03..2026-01,3.1666666666666665,0.6016418632634939,99267
ERA5,T2,2024-03..2026-01,3.3333333333333335,0.6139781381660968,99267
ERA5,T2,2024-03..2026-01,3.5,0.626068278815143,99267
ERA5,T2,2024-03..2026-01,3.6666666666666665,0.6378638511872154,99267
ERA5,T2,2024-03..2026-01,3.8333333333333335,0.6493176726934308,99267
ERA5,T2,2024-03..2026-01,4.0,0.6603769868544557,99267
ERA5,T2,2024-03..2026-01,4.166666666666667,0.6709925829415481,99267
ERA5,T2,2024-03..2026-01,4.333333333333333,0.6810835864416642,99267
ERA5,T2,2024-03..2026-01,4.5,0.6905632401290481,99267
ERA5,T2,2024-03..2026-01,4.666666666666667,0.6993207084914381,99267
ERA5,T2,2024-03..2026-01,4.833333333333333,0.7072437482036067,99267
ERA5,T2,2024-03..2026-01,5.0,0.7142523090360315,99267
ERA5,T2,2024-03..2026-01,5.166666666666667,0.7202808835453981,99267
ERA5,T2,2024-03..2026-01,5.333333333333333,0.7252953853106002,99267
ERA5,T2,2024-03..2026-01,5.5,0.7292893311664671,99267
ERA5,T2,2024-03..2026-01,5.666666666666667,0.7322465296660772,99267
ERA5,T2,2024-03..2026-01,5.833333333333333,0.7341557545835067,99267
ERA5,T2,2024-03..2026-01,6.0,0.735023964611847,99267
ERA5,T2,2024-03..2026-01,6.166666666666667,0.7348597838202414,99267
ERA5,T2,2024-03..2026-01,6.333333333333333,0.7336890386751662,99267
ERA5,T2,2024-03..2026-01,6.5,0.7314960449997797,99267
ERA5,T2,2024-03..2026-01,6.666666666666667,0.7283091062788691,99267
ERA5,T2,2024-03..2026-01,6.833333333333333,0.7241618302982035,99267
ERA5,T2,2024-03..2026-01,7.0,0.719091219960369,99267
ERA5,T2,2024-03..2026-01,7.166666666666667,0.7131084309594117,99267
ERA5,T2,2024-03..2026-01,7.333333333333333,0.706280654773253,99267
ERA5,T2,2024-03..2026-01,7.5,0.698668940189675,99267
ERA5,T2,2024-03..2026-01,7.666666666666667,0.6903404423596787,99267
ERA5,T2,2024-03..2026-01,7.833333333333333,0.6813600683966125,99267
ERA5,T2,2024-03..2026-01,8.0,0.6717770260199836,99267
ERA5,T2,2024-03..2026-01,8.166666666666666,0.6616620233597535,99267
ERA5,T2,2024-03..2026-01,8.333333333333334,0.651051736625099,99267
ERA5,T2,2024-03..2026-01,8.5,0.6400054949291805,99267
ERA5,T2,2024-03..2026-01,8.666666666666666,0.6285686051562102,99267
ERA5,T2,2024-03..2026-01,8.833333333333334,0.6167678370101778,99267
ERA5,T2,2024-03..2026-01,9.0,0.6046264401769736,99267
